ID,PLAYER,POSITION,AGE,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,SALARY_MILLIONS,cluster
199,Brandan Wright,PF,29,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,MEM,28,16,-0.86,0.4,-0.46,5.71,2
200,Alec Burks,SG,25,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,UTAH,42,15.5,-2.47,-0.94,-3.41,10.15,5
201,Devin Harris,PG,33,0.2,1.8,2,2.1,0.7,0.1,0.9,1.6,6.7,DAL,65,16.7,0.38,0.32,0.7,4.23,3
202,Dwight Powell,C,25,1.2,2.8,4,0.6,0.8,0.5,0.4,1.8,6.7,DAL,77,17.3,-0.66,-0.51,-1.17,8.38,1
203,Jaylen Brown,SF,20,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,BOS,78,17.2,-2.95,-0.42,-3.37,4.74,4
204,Michael Carter-Williams,PG,25,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,CHI,45,18.8,-2.82,1.12,-1.7,3.18,3
205,Dante Cunningham,SF,29,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,NO,66,25,-0.37,-0.56,-0.93,2.98,4
206,Kosta Koufos,C,27,1.7,4,5.7,0.7,0.5,0.7,0.9,2.4,6.6,SAC,71,20,-2.78,2.83,0.05,8.05,1
207,Andre Roberson,SF,25,1.2,3.9,5.1,1,1.2,1,0.6,2.6,6.6,OKC,79,30.1,-1.4,2.64,1.24,2.18,4
208,Marcus Thornton,SG,29,0.7,1.6,2.3,1.2,0.6,0.1,0.8,1.5,6.6,WSH,33,17.4,-1.64,-3.31,-4.95,0.98,5
209,Sam Dekker,SF,22,1.2,2.5,3.7,1,0.5,0.3,0.5,1.1,6.5,HOU,77,18.4,0.05,-1.42,-1.37,1.72,4
210,Amir Johnson,PF,29,1.5,3.1,4.6,1.8,0.6,0.8,1,2.6,6.5,BOS,80,20.1,0.22,3.58,3.8,12,2
211,Darrell Arthur,PF,28,0.6,2.1,2.7,1,0.5,0.5,0.9,1.9,6.4,DEN,41,15.6,-0.91,0.2,-0.71,8.07,2
212,Timothe Luwawu-Cabarrot,SF,21,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4,PHI,69,17.2,-2.27,0.57,-1.7,1.39,4
213,Mirza Teletovic,PF,31,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,MIL,70,16.2,-1.05,-0.44,-1.49,10.5,2
214,Leandro Barbosa,SG,34,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,PHX,67,14.4,-1.5,-1.5,-3,4,5
215,Mindaugas Kuzminskas,SF,27,0.7,1.2,1.9,1,0.4,0.2,0.8,1.2,6.3,NY,68,14.9,-0.8,-1.2,-2,2.9,4
216,Kyle O'Quinn,C,26,2,3.6,5.6,1.5,0.5,1.3,1,2.2,6.3,NY,79,15.6,-1.28,1.16,-0.12,3.92,1
217,Nemanja Bjelica,PF,28,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,MIN,65,18.3,-0.71,1.94,1.23,3.8,2
218,Dante Exum,PG,21,0.5,1.5,2,1.7,0.3,0.2,1.2,2.2,6.2,UTAH,66,18.6,-2.14,-0.65,-2.79,3.94,3
219,Jonathan Gibson,PG,29,0.1,1.2,1.3,1.5,0.5,0,1.2,1.2,6.2,DAL,17,13.6,-1.95,-2.16,-4.11,0.47,3
220,Spencer Hawes,PF,28,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,MIL/CHA,54,14.8,-2.13,-0.87,-3,6.35,2
221,Trey Lyles,PF,21,0.7,2.6,3.3,1,0.4,0.3,0.9,1.4,6.2,UTAH,71,16.3,-2.48,-0.23,-2.71,2.34,2
222,Chandler Parsons,SF,28,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,MEM,34,19.9,-3.51,-0.33,-3.84,22.12,4
223,Ramon Sessions,PG,30,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2,CHA,50,16.2,-1.65,-1.4,-3.05,6,3
224,Troy Williams,SF,22,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2,6.2,HOU/MEM,30,18.6,-3.06,-0.45,-3.51,1.58,4
225,Luc Mbah a Moute,SF,30,0.6,1.6,2.1,0.5,1,0.4,0.6,1.5,6.1,LAC,80,22.3,-1.56,2.32,0.76,2.2,4
226,JaVale McGee,C,29,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,GS,77,9.6,0.83,0.11,0.94,1.4,1
227,Alex Abrines,SG,23,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,OKC,68,15.5,0.13,-2.25,-2.12,5.99,5
228,Bismack Biyombo,C,24,1.9,5.1,7,0.9,0.3,1.1,1.2,2.5,6,ORL,81,22.1,-3.33,0.77,-2.56,17,1
229,Lance Thomas,PF,28,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6,NY,46,21,-2.87,-1.73,-4.6,6.19,2
230,Jerian Grant,PG,24,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,CHI,63,16.3,0.5,1.07,1.57,1.64,3
231,Andrew Harrison,PG,22,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,MEM,72,20.5,-1.2,-0.38,-1.58,1.31,3
232,Domantas Sabonis,PF,20,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,OKC,81,20.1,-3.9,1.86,-2.04,2.44,2
233,Quincy Acy,PF,26,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,DAL/BKN,38,14.7,-2.38,-0.21,-2.59,1.79,2
234,Tarik Black,C,25,2.1,3,5.1,0.6,0.4,0.7,0.9,2.6,5.7,LAL,67,16.3,-2.5,1.96,-0.54,6.19,1
235,Jason Smith,C,30,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,WSH,74,14.4,-1.08,0.54,-0.54,5,1
236,Ian Mahinmi,C,30,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,WSH,31,17.9,-2.22,3.11,0.89,15.94,1
237,Georgios Papagiannis,C,19,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2,5.6,SAC,22,16.1,-2.47,-0.3,-2.77,2.2,1
238,Delon Wright,PG,24,0.6,1.2,1.8,2.1,1,0.4,0.9,1.1,5.6,TOR,27,16.5,-1.28,0.98,-0.3,1.58,3
239,Boban Marjanovic,C,28,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,DET,35,8.4,-0.24,1.66,1.42,7,1
240,Anthony Morrow,SG,31,0.2,0.4,0.6,0.5,0.5,0,0.1,0.9,5.5,CHI/OKC,49,14.6,-0.66,-1.46,-2.12,3.49,5
241,Terry Rozier,PG,22,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,BOS,74,17.1,-1.05,-0.01,-1.06,1.91,3
242,Malcolm Delaney,PG,27,0.1,1.5,1.7,2.6,0.5,0,1.3,1.5,5.4,ATL,73,17.1,-2.64,-0.25,-2.89,2.5,3
243,Joffrey Lauvergne,PF-C,25,1,2.6,3.6,1,0.4,0.1,0.8,1.2,5.4,CHI/OKC,70,14,-1.22,-1.27,-2.49,1.71,2
244,Joffrey Lauvergne,PF-C,25,1,2.6,3.6,1,0.4,0.1,0.8,1.2,5.4,CHI/OKC,70,14,-1.22,-1.27,-2.49,1.52,2
245,Meyers Leonard,PF,24,0.4,2.8,3.2,1,0.2,0.4,0.5,2.3,5.4,POR,74,16.5,-1.5,0.26,-1.24,9.21,2
246,Alexis Ajinca,C,28,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,NO,39,15,-3.17,1.64,-1.53,4.64,1
247,Chasson Randle,PG,23,0.2,1,1.2,1.3,0.3,0.1,0.7,1.5,5.3,NY/PHI,26,11.5,-0.74,-1.36,-2.1,1.31,3
248,Mike Dunleavy,SF,36,0.3,1.8,2.2,0.9,0.3,0.1,0.5,1.3,5.2,ATL/CLE,53,15.9,-2.26,0.05,-2.21,4.84,4
249,Randy Foye,SG,33,0.1,2.1,2.2,2,0.5,0.1,1.2,1.4,5.2,BKN,69,18.6,-2.7,-1.42,-4.12,2.5,5
250,Cameron Payne,PG,22,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,CHI/OKC,31,14.9,-4.14,-0.31,-4.45,2.11,3
251,Dewayne Dedmon,C,27,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,SA,76,17.5,-1.63,3.94,2.31,2.9,1
252,Shaun Livingston,PG,31,0.4,1.6,2,1.8,0.5,0.3,0.8,1.6,5.1,GS,76,17.7,-2.55,-0.19,-2.74,5.78,3
253,Luis Scola,PF,36,1.4,2.4,3.9,1,0.4,0.1,0.9,1.8,5.1,BKN,36,12.8,-0.8,-0.29,-1.09,5.5,2
