ID,PLAYER,POSITION,AGE,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,SALARY_MILLIONS,cluster
328,Cole Aldrich,C,28,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,MIN,62,8.6,-1.82,1.83,0.01,7.64,1
329,Nick Collison,PF,36,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.7,OKC,20,6.4,-2.18,1.12,-1.06,3.75,2
330,Jordan Hill,C,29,1.1,0.9,2,0,0.1,0,0.6,1.3,1.7,MIN,7,6.7,-2.31,1.16,-1.15,4,1
331,Bruno Caboclo,SF,21,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6,TOR,9,4.4,-1.76,0.11,-1.65,1.59,4
332,Deyonta Davis,C,20,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6,MEM,36,6.6,-2.88,-0.24,-3.12,1.37,1
333,Deyonta Davis,C,20,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6,MEM,36,6.6,-2.88,-0.24,-3.12,1.31,1
334,Ryan Kelly,PF,25,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,ATL,16,6.9,-1.94,1.45,-0.49,1.58,2
335,Jordan Mickey,PF,22,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.5,BOS,25,5.6,-2.62,-0.15,-2.77,1.47,2
336,Mike Miller,SF,36,0.1,1.8,1.9,1.1,0.1,0,0.7,0.5,1.4,DEN,20,7.6,-1.93,0.35,-1.58,3.5,4
337,Diamond Stone,C,19,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,LAC,7,3.4,-2.77,0.49,-2.28,1.31,1
338,Brice Johnson,PF,22,0.3,0.7,1,0.3,0.7,0.3,0.3,0,1.3,LAC,3,3,-2.32,1.08,-1.24,1.33,2
339,Mike Tobey,C,22,1,0.5,1.5,0.5,0,0,0.5,1,1,CHA,2,12.5,-1.91,0.99,-0.92,0.07,1
340,Alonzo Gee,SF,29,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,DEN,13,6.8,-2.11,0.43,-1.68,0.06,4
341,John Lucas III,PG,34,0,0,0,0.2,0.4,0,0,0,0.4,MIN,5,2.2,-1.3,-0.61,-1.91,0.98,3
342,Aaron Harrison,SG,22,0,0.6,0.6,0.6,0,0,0,0.4,0.2,CHA,5,3.4,-1.42,-0.32,-1.74,0.87,5
